FFMC,BUI,WSV,WindDir,FWIBin,Season,FireRegion
92.51857852,25.41127712,5.125,180,1,Summer,All
92.56876751,26.72548837,4.541666667,0,1,Summer,All
92.61897306,28.38904756,4.25,270,1,Summer,All
92.6691952,30.25522685,8.125,270,2,Summer,All
92.71943391,32.07696226,4.958333333,0,2,Summer,All
92.76968921,33.83963551,6.666666667,0,2,Summer,All
92.8199611,26.98645234,4.875,180,1,Summer,All
92.87024958,28.52074606,5.083333333,0,1,Summer,All
92.92055467,30.33665105,3.208333333,270,1,Summer,All
92.97087637,20.89558285,7.25,180,1,Summer,All
93.02121469,23.16295219,6.208333333,270,1,Summer,All
93.07156962,20.28441392,3.25,270,1,Summer,All
93.12194117,22.66986117,9.416666667,0,2,Summer,All
93.17232936,24.30205601,7.666666667,90,2,Summer,All
93.22273418,10.84128167,8.416666667,135,1,Summer,All
93.32359376,11.47671209,6.791666667,315,1,Summer,All
93.42451994,17.26178721,3.875,180,1,Summer,All
93.47500802,17.1512884,7.375,180,1,Summer,All
93.52551277,18.4940268,9.291666667,0,2,Summer,All
93.5760342,20.6121532,7.833333333,0,2,Summer,All
93.62657231,22.93095806,2.208333333,90,1,Summer,All
93.6771271,24.60087824,2.166666667,0,1,Summer,All
93.72769858,27.24962272,3.25,0,1,Summer,All
93.77828675,29.47897187,4.375,225,2,Summer,All
93.82889163,32.19168551,6.291666667,270,2,Summer,All
93.87951322,34.60222949,5.916666667,270,2,Summer,All
93.93015152,37.05994829,5.125,180,2,Summer,All
93.98080654,35.68353679,11.79166667,180,4,Summer,All
94.03147828,37.9561273,16.125,270,5,Summer,All
94.08216675,39.10201772,11.75,270,4,Summer,All
94.13287195,40.51451515,3.083333333,225,2,Summer,All
94.1835939,42.03187532,4.625,180,3,Summer,All
94.17558339,25.88936491,7.416666667,270,2,Summer,All
94.22631944,27.34626857,6.333333333,270,2,Summer,All
94.03054979,13.89195022,11.20833333,180,2,Summer,All
94.08123795,15.33673909,7.625,315,1,Summer,All
94.13194285,16.8314222,4.208333333,270,1,Summer,All
94.16055269,18.56184976,7.791666667,180,2,Summer,All
